winograd_output_transform_4x4_3x3_nhwc_f32_1_2304_1_192_nhwc;1;7;8
depthwise_convolution_3x3_nhwc_192_28_28_192_14_F16;12;14;1
gemmlowp_offset_contribution_quantize_down_fixedpoint_64_14_14;16;15;1
interleave4x4_3d_qasymm8_64_3136_1_1;2;1;1
interleave4x4_3d_qasymm8_256_49_1_1;4;7;1
gemmlowp_offset_contribution_quantize_down_fixedpoint_1_192_192;6;16;4
interleave4x4_3d_qasymm8_96_784_1_1;16;15;1
batch_normalization_layer_F32_144_56_56_nhwc;2;8;1
gemmlowp_offset_contribution_quantize_down_fixedpoint_16_112_112;2;8;8
gemmlowp_reshaped_3do_qasymm8_192_64_9216;4;2;1
batch_normalization_layer_F32_576_7_7_nhwc;9;1;7
elementwise_operation_ADD_quantized_qasymm8_1_192_saturate_nhwc;1;16;8
interleave4x4_3d_qasymm8_768_49_1_1;12;7;1
im2col3x3_nhwc_f32_1_27_12544_nhwc;2;2;1
batch_normalization_layer_F16_1280_7_7_nhwc;2;7;7
batch_normalization_layer_F16_384_14_14_nhwc;2;2;7
im2col3x3_nhwc_qasymm8_1_27_12544_nhwc;7;4;8
interleave4x4_3d_f16_7680_7_1_1;2;13;1
gemm_f32_56_24_56_1_96;6;1;2
gemmlowp_offset_contribution_quantize_down_fixedpoint_1280_7_7;16;1;7
gemmlowp_reshaped_3do_qasymm8_192_64_144;4;1;1
batch_normalization_layer_F16_192_28_28_nhwc;3;7;1
gemm_f16_14_64_14_1_384;2;2;7
depthwise_convolution_3x3_nhwc_stride1_576_14_14_576_14_F32;6;7;1
batch_normalization_layer_F16_16_112_112_nhwc;1;8;8
gemm_f16_28_32_28_1_192;2;7;7
gemm_f32_28_32_28_1_144;2;7;2
batch_normalization_layer_F16_24_56_56_nhwc;3;14;4
gemmlowp_offset_contribution_quantize_down_fixedpoint_160_7_7;2;11;7
depthwise_convolution_3x3_quantized_nhwc_96_112_112_96_56_QASYMM8;4;2;2
batch_normalization_layer_F16_96_112_112_nhwc;2;9;1
batch_normalization_layer_F16_144_28_28_nhwc;3;1;7
